bin,fidelity
0.0,0.013839285714285695
0.013333333333333334,0.013392857142857097
0.02666666666666667,0.01205357142857139
0.04,0.010491071428571391
0.05333333333333334,0.0118303571428571
0.06666666666666667,0.012499999999999963
0.08,0.009821428571428537
0.09333333333333334,0.014285714285714235
0.10666666666666667,0.008705357142857112
0.12,0.0118303571428571
0.13333333333333333,0.010937499999999975
0.14666666666666667,0.011160714285714246
0.16,0.011160714285714246
0.17333333333333334,0.011607142857142816
0.18666666666666668,0.012946428571428525
0.2,0.012499999999999956
0.21333333333333335,0.010044642857142821
0.22666666666666666,0.016517857142857084
0.24,0.011160714285714246
0.25333333333333335,0.010714285714285676
0.26666666666666666,0.013616071428571519
0.28,0.014062500000001699
0.29333333333333333,0.012946428571430135
0.30666666666666664,0.01339285714285876
0.32,0.011160714285715634
0.3333333333333333,0.015178571428573262
0.3466666666666667,0.016294642857144825
0.36,0.015401785714287575
0.37333333333333335,0.013616071428573073
0.38666666666666666,0.01741071428571639
0.4,0.013839285714287386
0.41333333333333333,0.012053571428572885
0.4266666666666667,0.015178571428573262
0.44,0.016964285714287763
0.4533333333333333,0.017857142857145014
0.4666666666666667,0.02165178571428833
0.48,0.016964285714287763
0.49333333333333335,0.014508928571427882
0.5066666666666667,0.017857142857140573
0.52,0.016294642857140773
0.5333333333333333,0.019866071428568888
0.5466666666666666,0.016071428571426516
0.56,0.014285714285712459
0.5733333333333334,0.01339285714285543
0.5866666666666667,0.013616071428569687
0.6,0.015401785714283744
0.6133333333333333,0.01651785714285503
0.6266666666666667,0.012723214285712658
0.64,0.012723214285712658
0.6533333333333333,0.014285714285712459
0.6666666666666666,0.01339285714285543
0.68,0.013839285714283944
0.6933333333333334,0.014508928571426716
0.7066666666666667,0.014285714285712459
0.72,0.009821428571427315
0.7333333333333333,0.012053571428569887
0.7466666666666667,0.014508928571426716
0.76,0.013616071428569687
0.7733333333333333,0.011160714285712858
0.7866666666666666,0.01495535714285523
0.8,0.010491071428570087
0.8133333333333334,0.013839285714283944
0.8266666666666667,0.01026785714285583
0.84,0.012276785714284144
0.8533333333333334,0.010044642857141572
0.8666666666666667,0.012276785714284144
0.88,0.010937499999998601
0.8933333333333333,0.010491071428570087
0.9066666666666666,0.012946428571426916
0.92,0.012276785714284144
0.9333333333333333,0.012723214285712658
0.9466666666666667,0.01495535714285523
0.96,0.008928571428570287
0.9733333333333334,0.010937499999998601
0.9866666666666667,0.01183035714285563
