train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc
5,5,8,107,,,,,87.5
6,18,19,134,,,,,63.15789000000001
7,22,25,137,,,,,68.0
8,29,30,140,,,,,66.66667
9,37,35,152,,,,,65.71428999999999
10,45,42,161,,,,,71.428573
11,47,46,173,,,,,71.73912999999999
12,47,46,173,,,,,71.73912999999999
13,53,52,190,,,,,71.15384999999999
14,70,64,193,,,,,75.0
15,70,64,193,0.0592,1.1833,100.0,60.0,75.0
16,73,67,196,0.0614,1.237,100.0,57.53,74.62687
17,73,67,196,0.0576,1.4185,100.0,57.53,74.62687
18,85,74,199,0.0797,1.2171,100.0,60.0,72.97297
19,87,78,205,0.0873,1.1561,100.0,60.919999999999995,74.358976
