train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,train/test
122,109,109,240,24.934,47.0488,66.39,34.86,33.94495412844037,0.8934426229508197
123,109,109,240,28.4395,42.7633,62.6,37.61,41.284403669724774,0.8861788617886179
124,110,109,249,27.6677,46.2659,61.29,32.73,43.11926605504588,0.8790322580645161
125,110,109,249,26.2326,52.6124,65.60000000000001,32.73,35.77981651376147,0.872
126,110,109,249,28.1911,42.6995,59.519999999999996,40.910000000000004,44.03669724770643,0.8650793650793651
127,110,109,249,26.6662,49.0546,63.78,34.55,35.77981651376147,0.8582677165354331
128,110,109,249,26.6765,46.2101,64.84,33.64,42.201834862385326,0.8515625
129,110,109,249,26.7591,44.6044,64.34,39.09,44.95412844036697,0.8449612403100775
130,110,109,249,30.5486,42.2144,53.849999999999994,32.73,34.862385321100916,0.8384615384615385
131,110,109,249,28.949,41.4805,62.6,34.55,36.69724770642202,0.8320610687022901
132,110,109,249,28.1224,46.1616,64.39,33.64,39.44954128440367,0.8257575757575758
133,110,109,249,28.6395,44.1331,61.650000000000006,38.18,38.53211009174312,0.8195488721804511
134,111,110,264,30.6941,45.1299,53.73,32.43,41.81818181818181,0.8208955223880597
135,111,110,264,28.7085,46.677,64.44,34.23,43.63636363636363,0.8148148148148148
136,111,110,264,30.919,40.6013,62.5,32.43,40.909090909090914,0.8088235294117647
137,111,110,264,30.6349,40.9235,63.5,36.04,36.36363636363637,0.8029197080291971
138,111,110,264,31.2503,44.9739,60.870000000000005,29.73,37.27272727272727,0.7971014492753623
139,111,110,264,29.5705,45.6499,60.42999999999999,31.53,40.909090909090914,0.7913669064748201
140,111,110,264,32.1313,45.1863,57.14,29.73,41.81818181818181,0.7857142857142857
141,111,110,264,31.4988,40.8876,55.32,33.33,33.63636363636363,0.7801418439716312
142,111,110,264,30.6679,46.9084,66.2,34.23,42.72727272727273,0.7746478873239436
143,111,110,264,32.3794,46.6837,55.24,30.630000000000003,31.818181818181817,0.7692307692307693
144,111,110,264,31.2908,43.8686,64.58,34.23,46.36363636363636,0.7638888888888888
145,111,110,264,32.6016,47.4542,57.93000000000001,29.73,39.09090909090909,0.7586206896551724
146,111,110,264,31.9327,46.1526,63.7,34.23,38.18181818181819,0.7534246575342466
147,111,110,264,31.019,43.0772,64.63,32.43,46.36363636363636,0.7482993197278912
148,111,110,264,32.5684,40.3014,62.839999999999996,28.83,38.18181818181819,0.7432432432432432
149,111,110,264,32.6928,48.0794,63.75999999999999,32.43,46.36363636363636,0.738255033557047
150,111,110,264,38.08,43.489,48.0,31.53,30.0,0.7333333333333333
151,111,110,264,33.3501,45.6017,64.9,32.43,40.909090909090914,0.7284768211920529
152,111,110,264,33.9096,41.665,63.160000000000004,38.74,46.36363636363636,0.7236842105263158
153,111,110,264,35.2719,42.2246,54.25,34.23,39.09090909090909,0.7189542483660131
154,111,110,264,33.7349,44.2952,65.58,32.43,40.0,0.7142857142857143
155,111,110,264,35.6257,43.2172,56.769999999999996,28.83,44.54545454545455,0.7096774193548387
156,111,110,264,33.436,43.3781,64.74,33.33,42.72727272727273,0.7051282051282052
157,111,110,264,34.7647,43.9677,64.97,36.94,43.63636363636363,0.7006369426751592
158,111,110,264,38.4366,38.525,60.129999999999995,32.43,40.909090909090914,0.6962025316455697
159,111,110,264,37.6566,50.1133,59.12,35.14,37.27272727272727,0.6918238993710691
160,111,110,264,37.4605,41.5125,58.120000000000005,30.630000000000003,40.909090909090914,0.6875
161,111,110,264,34.438,44.9448,61.49,34.23,39.09090909090909,0.6832298136645962
162,111,110,264,37.1421,46.0152,62.96000000000001,31.53,40.0,0.6790123456790124
163,111,110,264,37.1332,42.8067,59.51,36.94,43.63636363636363,0.6748466257668712
164,111,110,264,38.2693,43.2593,59.760000000000005,32.43,44.54545454545455,0.6707317073170732
165,111,110,264,39.6642,39.9115,53.94,28.83,42.72727272727273,0.6666666666666666
166,111,110,264,37.476,43.4404,59.64,34.23,46.36363636363636,0.6626506024096386
167,111,110,264,37.4953,41.8658,60.480000000000004,42.34,50.0,0.6586826347305389
168,111,110,264,41.1536,41.5323,55.95,32.43,40.909090909090914,0.6547619047619048
169,111,110,264,42.3957,39.1335,47.93,36.94,54.54545454545454,0.650887573964497
170,111,110,264,39.689,45.5897,59.41,33.33,40.909090909090914,0.6470588235294118
171,111,110,264,39.7669,41.9529,60.81999999999999,33.33,48.18181818181818,0.6432748538011696
172,111,110,264,40.7729,42.6412,58.14,29.73,41.81818181818181,0.6395348837209303
173,111,110,264,40.8101,44.3185,58.379999999999995,32.43,40.909090909090914,0.6358381502890174
174,111,110,264,39.9691,45.8788,60.34,31.53,41.81818181818181,0.632183908045977
175,111,110,264,40.493,41.3553,63.43,36.04,48.18181818181818,0.6285714285714286
175,111,110,264,45.0078,39.532,50.29,27.93,34.54545454545455,0.6285714285714286
176,113,111,267,41.6908,42.0935,57.38999999999999,30.09,46.846846846846844,0.6306818181818182
177,113,111,267,41.5961,41.2956,57.06,31.86,41.44144144144144,0.6271186440677966
178,113,111,267,40.9215,44.0213,57.87,34.510000000000005,45.04504504504504,0.6235955056179775
179,113,111,267,42.2599,43.1763,56.98,33.629999999999995,38.73873873873874,0.6201117318435754
180,113,111,267,40.7063,42.4764,62.78,33.629999999999995,42.34234234234234,0.6166666666666667
181,113,111,267,42.225,42.9303,58.56,31.86,44.14414414414414,0.6132596685082873
182,113,111,267,43.2249,44.2727,59.89,38.940000000000005,48.64864864864865,0.6098901098901099
183,113,111,267,45.1782,42.9996,53.010000000000005,30.97,32.432432432432435,0.6065573770491803
184,113,111,267,43.0216,42.2478,60.870000000000005,34.510000000000005,41.44144144144144,0.6032608695652174
185,113,111,267,43.4501,40.2599,62.160000000000004,36.28,46.846846846846844,0.6
186,113,111,267,44.4717,40.2485,55.910000000000004,31.86,39.63963963963964,0.5967741935483871
187,113,111,267,46.2141,38.7325,55.61000000000001,34.510000000000005,43.24324324324324,0.5935828877005348
188,113,111,267,49.0147,39.9632,52.129999999999995,33.629999999999995,44.14414414414414,0.5904255319148937
189,113,111,267,47.8083,38.7933,55.03,35.4,47.74774774774775,0.5873015873015873
190,113,111,267,48.7354,41.363,51.05,34.510000000000005,42.34234234234234,0.5842105263157895
191,113,111,267,47.7631,41.4923,55.50000000000001,34.510000000000005,41.44144144144144,0.581151832460733
192,113,111,267,48.3866,41.4459,55.21,30.97,38.73873873873874,0.578125
193,113,111,267,45.6556,42.4189,61.660000000000004,32.74,45.94594594594595,0.5751295336787565
194,113,111,267,44.9451,41.6741,62.370000000000005,33.629999999999995,45.04504504504504,0.5721649484536082
195,113,111,267,46.2549,44.2715,56.410000000000004,30.97,45.94594594594595,0.5692307692307692
196,113,111,267,48.0274,41.7461,55.1,30.97,42.34234234234234,0.5663265306122449
197,113,111,267,45.9077,41.454,58.379999999999995,41.589999999999996,50.45045045045045,0.5634517766497462
198,113,111,267,49.2395,43.1534,54.04,30.97,45.04504504504504,0.5606060606060606
199,113,111,267,48.4246,43.6131,51.76,36.28,46.846846846846844,0.5577889447236181
200,113,111,267,48.6343,42.5624,60.0,32.74,41.44144144144144,0.555
201,113,111,267,51.4278,40.6236,57.21000000000001,31.86,46.846846846846844,0.5522388059701493
202,113,111,267,50.5799,37.7448,55.94,38.940000000000005,43.24324324324324,0.5495049504950495
203,113,111,267,50.7141,39.0594,56.65,30.09,43.24324324324324,0.5467980295566502
204,113,111,267,48.0999,42.3879,61.27,34.510000000000005,45.94594594594595,0.5441176470588235
205,113,111,267,49.5841,42.1914,53.66,33.629999999999995,48.64864864864865,0.5414634146341464
206,113,111,267,48.388,43.1521,59.709999999999994,30.97,40.54054054054054,0.5388349514563107
207,113,111,267,50.6809,40.8293,53.14,34.510000000000005,54.054054054054056,0.5362318840579711
