bin,fidelity,bins_x,P_harr_hist
6.133333333333332860e-01,2.971768202080227184e-03,6.266666666666665941e-01,5.776592592592631747e-03
6.266666666666667052e-01,3.268945022288249902e-03,6.400000000000000133e-01,5.378370370370359754e-03
6.400000000000000133e-01,2.674591381872204465e-03,6.533333333333333215e-01,4.994370370370364298e-03
6.533333333333333215e-01,2.377414561664181747e-03,6.666666666666666297e-01,4.624592592592582929e-03
6.666666666666666297e-01,2.674591381872204465e-03,6.799999999999999378e-01,4.269037037037064219e-03
6.800000000000000488e-01,1.931649331352147669e-03,6.933333333333333570e-01,3.927703703703693677e-03
6.933333333333333570e-01,1.783060921248136310e-03,7.066666666666666652e-01,3.600592592592585794e-03
7.066666666666666652e-01,2.080237741456159029e-03,7.199999999999999734e-01,3.287703703703698938e-03
7.199999999999999734e-01,1.188707280832090873e-03,7.333333333333332815e-01,2.989037037037033107e-03
7.333333333333332815e-01,2.228826151560170388e-03,7.466666666666665897e-01,2.704592592592609118e-03
7.466666666666667007e-01,1.783060921248136310e-03,7.600000000000000089e-01,2.434370370370366257e-03
7.600000000000000089e-01,1.188707280832090873e-03,7.733333333333333171e-01,2.178370370370365239e-03
7.733333333333333171e-01,1.485884101040113592e-03,7.866666666666666252e-01,1.936592592592590450e-03
7.866666666666666252e-01,5.943536404160454367e-04,7.999999999999999334e-01,1.709037037037047096e-03
8.000000000000000444e-01,1.337295690936102233e-03,8.133333333333333526e-01,1.495703703703700482e-03
8.133333333333333526e-01,7.429420505200567959e-04,8.266666666666666607e-01,1.296592592592590507e-03
8.266666666666666607e-01,1.040118870728079514e-03,8.399999999999999689e-01,1.111703703703701557e-03
8.399999999999999689e-01,1.485884101040113592e-04,8.533333333333332771e-01,9.410370370370431739e-04
8.533333333333333881e-01,7.429420505200567959e-04,8.666666666666666963e-01,7.845925925925906382e-04
8.666666666666666963e-01,4.457652303120340775e-04,8.800000000000000044e-01,6.423703703703688862e-04
8.800000000000000044e-01,4.457652303120340775e-04,8.933333333333333126e-01,5.143703703703694612e-04
8.933333333333333126e-01,5.943536404160454367e-04,9.066666666666666208e-01,4.005925925925920379e-04
9.066666666666666208e-01,1.485884101040113592e-04,9.199999999999999289e-01,3.010370370370390016e-04
9.200000000000000400e-01,8.915304606240681551e-04,9.333333333333333481e-01,2.157037037037031423e-04
9.333333333333333481e-01,4.457652303120340775e-04,9.466666666666666563e-01,1.445925925925922934e-04
9.466666666666666563e-01,0.000000000000000000e+00,9.599999999999999645e-01,8.770370370370360888e-05
9.599999999999999645e-01,1.485884101040113592e-04,9.733333333333332726e-01,4.503703703703731910e-05
9.733333333333333837e-01,0.000000000000000000e+00,9.866666666666666918e-01,1.659259259259249572e-05
