bin,fidelity,bins_x,P_harr_hist
0.000000000000000000e+00,5.839524517087649885e-02,1.333333333333333419e-02,3.946903703703696920e-02
1.333333333333333419e-02,3.491827637444267635e-02,2.666666666666666838e-02,3.841659259259255776e-02
2.666666666666666838e-02,3.313521545319454698e-02,4.000000000000000083e-02,3.737837037037061716e-02
4.000000000000000083e-02,2.793462109955413553e-02,5.333333333333333676e-02,3.635437037037025920e-02
5.333333333333333676e-02,2.793462109955413553e-02,6.666666666666666574e-02,3.534459259259248309e-02
6.666666666666666574e-02,2.808320950965814689e-02,8.000000000000000167e-02,3.434903703703706679e-02
8.000000000000000167e-02,2.511144130757791970e-02,9.333333333333333759e-02,3.336770370370389927e-02
9.333333333333333759e-02,2.986627043090628320e-02,1.066666666666666735e-01,3.240059259259253643e-02
1.066666666666666735e-01,2.659732540861803329e-02,1.200000000000000094e-01,3.144770370370364443e-02
1.199999999999999956e-01,2.496285289747390834e-02,1.333333333333333315e-01,3.050903703703689018e-02
1.333333333333333315e-01,2.763744427934611281e-02,1.466666666666666674e-01,2.958459259259282881e-02
1.466666666666666674e-01,2.912332838038622640e-02,1.600000000000000033e-01,2.867437037037035008e-02
1.600000000000000033e-01,2.511144130757791970e-02,1.733333333333333393e-01,2.777837037037023116e-02
1.733333333333333393e-01,3.031203566121831727e-02,1.866666666666666752e-01,2.689659259259258306e-02
1.866666666666666752e-01,2.897473997028221504e-02,2.000000000000000111e-01,2.602903703703696170e-02
2.000000000000000111e-01,2.555720653788995378e-02,2.133333333333333470e-01,2.517570370370392219e-02
2.133333333333333470e-01,2.748885586924215696e-02,2.266666666666666829e-01,2.433659259259252083e-02
2.266666666666666552e-01,3.358098068350656717e-02,2.399999999999999911e-01,2.351170370370364582e-02
2.399999999999999911e-01,3.060921248142633999e-02,2.533333333333332993e-01,2.270103703703718612e-02
2.533333333333333548e-01,3.090638930163436271e-02,2.666666666666666630e-01,2.190459259259236457e-02
2.666666666666666630e-01,2.570579494799396514e-02,2.799999999999999711e-01,2.112237037037051346e-02
2.800000000000000266e-01,2.778603268945012417e-02,2.933333333333333348e-01,2.035437037037035601e-02
2.933333333333333348e-01,2.466567607726588562e-02,3.066666666666666430e-01,1.960059259259255837e-02
3.066666666666666430e-01,2.540861812778594242e-02,3.199999999999999512e-01,1.886103703703712053e-02
3.200000000000000067e-01,2.303120356612176067e-02,3.333333333333333148e-01,1.813570370370354290e-02
3.333333333333333148e-01,1.976225854383351077e-02,3.466666666666666230e-01,1.742459259259271365e-02
3.466666666666666785e-01,2.005943536404153349e-02,3.599999999999999867e-01,1.672770370370363358e-02
3.599999999999999867e-01,1.753343239227334038e-02,3.733333333333332948e-01,1.604503703703702433e-02
3.733333333333333504e-01,1.768202080237735174e-02,3.866666666666666585e-01,1.537659259259269162e-02
3.866666666666666585e-01,1.693907875185729495e-02,3.999999999999999667e-01,1.472237037037035789e-02
4.000000000000000222e-01,1.456166419019311320e-02,4.133333333333333304e-01,1.408237037037032846e-02
4.133333333333333304e-01,1.411589895988107912e-02,4.266666666666666385e-01,1.345659259259268659e-02
4.266666666666666941e-01,1.322436849925701097e-02,4.400000000000000022e-01,1.284503703703690491e-02
4.400000000000000022e-01,1.411589895988107912e-02,4.533333333333333104e-01,1.224770370370378836e-02
4.533333333333333104e-01,1.307578008915299961e-02,4.666666666666666186e-01,1.166459259259255976e-02
4.666666666666666741e-01,1.010401188707277242e-02,4.799999999999999822e-01,1.109570370370369097e-02
4.799999999999999822e-01,8.469539375928647473e-03,4.933333333333332904e-01,1.054103703703709871e-02
4.933333333333333459e-01,9.509658246656726988e-03,5.066666666666667096e-01,1.000059259259257483e-02
5.066666666666667096e-01,6.835066864784522522e-03,5.200000000000000178e-01,9.474370370370355232e-03
5.200000000000000178e-01,6.686478454680511163e-03,5.333333333333333259e-01,8.962370370370342787e-03
5.333333333333333259e-01,7.132243684992545241e-03,5.466666666666666341e-01,8.464592592592579123e-03
5.466666666666666341e-01,3.714710252600283980e-03,5.599999999999999423e-01,7.981037037037091997e-03
5.600000000000000533e-01,4.903417533432374853e-03,5.733333333333333615e-01,7.511703703703687118e-03
5.733333333333333615e-01,5.646359583952431649e-03,5.866666666666666696e-01,7.056592592592572655e-03
5.866666666666666696e-01,4.011887072808306698e-03,5.999999999999999778e-01,6.615703703703693095e-03
5.999999999999999778e-01,3.714710252600283980e-03,6.133333333333332860e-01,6.189037037037027622e-03
