train/circ,valid/circ,test/circ,train/acc,valid/acc,test/acc
25,25,25,64.0,28.000000000000004,28.000000000000004
50,50,50,74.0,18.0,28.000000000000004
75,75,75,66.66666666666666,32.0,34.66666666666667
100,100,100,52.0,33.0,30.0
125,125,114,52.800000000000004,37.83783783783784,29.82456140350877
150,150,114,51.33333333333333,25.225225225225223,18.421052631578945
175,175,114,52.0,28.82882882882883,19.298245614035086
200,200,119,54.0,26.548672566371685,21.008403361344538
225,225,119,50.66666666666667,31.858407079646017,24.369747899159663
250,250,119,53.2,35.39823008849557,27.73109243697479
275,275,130,54.18181818181819,35.199999999999996,30.0
300,300,130,56.333333333333336,34.4,30.76923076923077
325,325,130,55.07692307692308,34.4,30.0
